dynasty,period,book_name,author,full_book_info,total_chars,file_count,unique_variants_found
元,元代,歸潛志,元,歸潛志 (元),692400,150,10
元,元代,歸田類稿,元,歸田類稿 (元),1096420,230,10
元,元代,氏族大全,元,氏族大全 (元),2441460,230,10
元,元代,水雲村槀,元,水雲村槀 (元),1002730,160,10
元,元代,永覺元賢禪師廣錄,道霈,永覺元賢禪師廣錄 (道霈),2891330,300,10
元,元代,汝南遺事,元,汝南遺事 (元),154630,50,10
元,元代,江月松風集,元,江月松風集 (元),284640,130,10
元,元代,沖虛至德真經四解,高守元,沖虛至德真經四解 (高守元),1349340,210,10
元,元代,河朔訪古記,元,河朔訪古記 (元),264780,40,10
元,元代,河汾諸老詩集,元,河汾諸老詩集 (元),156970,100,10
元,元代,河防通議,元,河防通議 (元),164490,40,10
元,元代,治世龜鑑,元,治世龜鑑 (元),114800,20,10
元,元代,治河圖略,元,治河圖略 (元),41420,10,10
元,元代,法書考,元,法書考 (元),300940,90,10
元,元代,法華經科註,徐行善,法華經科註 (徐行善),2078830,80,10
元,元代,洞玄靈寶玉籙簡文三元威儀自然真經,,洞玄靈寶玉籙簡文三元威儀自然真經,30090,10,10
元,元代,洞真太上道君元丹上經,,洞真太上道君元丹上經,133180,10,10
元,元代,洞神八帝元變經,,洞神八帝元變經,110520,10,10
元,元代,涅槃經會疏解,師正,涅槃經會疏解 (師正),22420,10,10
元,元代,淨土境觀要門,懷則,淨土境觀要門 (懷則),35040,10,10
元,元代,淨土或問,天如則,淨土或問 (天如則),178180,10,10
元,元代,淨明忠孝全書,黃元吉,淨明忠孝全書 (黃元吉),312580,70,10
元,元代,淮陽集,元,淮陽集 (元),77840,40,10
元,元代,淵源道妙洞真繼篇,李景元,淵源道妙洞真繼篇 (李景元),176160,10,10
元,元代,淵穎集,元,淵穎集 (元),1344740,150,10
元,元代,混元八景真經,,混元八景真經,174320,60,10
元,元代,混元聖紀,謝守灝,混元聖紀 (謝守灝),1175290,120,10
元,元代,混元陽符經,,混元陽符經,1500,10,10
元,元代,清容居士集,元,清容居士集 (元),3928920,510,10
元,元代,清庵瑩蟾子語錄,柴元皋,清庵瑩蟾子語錄 (柴元皋),243230,70,10
元,元代,清微元降大法,,清微元降大法,426890,260,10
元,元代,清微玄樞奏告儀,葉雲萊,清微玄樞奏告儀 (葉雲萊),37100,10,10
元,元代,清閟閣全集,元,清閟閣全集 (元),990120,130,10
元,元代,測圓海鏡,元,測圓海鏡 (元),689930,140,10
元,元代,測圓海鏡分類釋術,元,測圓海鏡分類釋術 (元),603620,110,10
元,元代,湛淵集,元,湛淵集 (元),121570,30,10
元,元代,湛淵靜語,元,湛淵靜語 (元),224220,30,10
元,元代,湛然居士集,元,湛然居士集 (元),767700,150,10
元,元代,湯液本章,元,湯液本章 (元),435630,40,10
元,元代,滋溪文稿,元,滋溪文稿 (元),2128270,310,10
元,元代,瀛奎律隨,元,瀛奎律隨 (元),2742700,500,10
元,元代,灤京雜咏,元,灤京雜咏 (元),52830,30,10
元,元代,無上玄元三天玉堂大法,路時中,無上玄元三天玉堂大法 (路時中),699210,310,10
元,元代,無明慧經禪師語錄,元賢,無明慧經禪師語錄 (元賢),465710,40,10
